JURUSAN,JENJANG,SKOR UTBK
AGRONOMI,S1,636,66
AKUAKULTUR (BUDIDAYA PERIKANAN),S1,631,72
AKUNTANSI,S1,715,16
AKUNTANSI SEKTOR PUBLIK,D4,686,25
ANTROPOLOGI BUDAYA,S1,676,17
ARKEOLOGI,S1,656,08
ARSITEKTUR,S1,698,74
BAHASA DAN KEBUDAYAAN JEPANG,S1,667,59
BAHASA DAN KEBUDAYAAN KOREA,S1,683,11
BAHASA DAN SASTRA INDONESIA,S1,668,12
BAHASA DAN SASTRA PRANCIS,S1,604,55
BAHASA INGGRIS,D4,664,22
BAHASA JEPANG UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,D4,(Prodi Baru)
BAHASA SASTRA DAN BUDAYA JAWA,S1,614,33
BIOLOGI,S1,673,22
BISNIS PERJALANAN WISATA,D4,674,21
EKONOMI PERTANIAN DAN AGRIBISNIS,S1,677,68
ELEKTRONIKA DAN INSTRUMENTASI,S1,648,64
FARMASI,S1,715,92
FILSAFAT,S1,682,58
FISIKA,S1,602,91
GEOFISIKA,S1,652,70
GEOGRAFI LINGKUNGAN,S1,674,61
GIZI,S1,706,60
HIGIENE GIGI,S1,635,93
HUKUM,S1,716,53
ILMU AKTUARIA,S1,674,46
ILMU DAN INDUSTRI PETERNAKAN,S1,693,23
ILMU EKONOMI,S1,690,89
ILMU HUBUNGAN INTERNASIONAL,S1,713,19
ILMU KEPERAWATAN,S1,703,07
ILMU KOMPUTER,S1,709,91
ILMU KOMUNIKASI,S1,713,85
ILMU TANAH,S1,633,80
KARTOGRAFI DAN PENGINDERAAN JAUH,S1,649,25
KEDOKTERAN,S1,741,25
KEDOKTERAN GIGI,S1,712,69
KEDOKTERAN HEWAN,S1,702,75
KEHUTANAN,S1,711,85
KIMIA,S1,639,99
MANAJEMEN,S1,716,38
MANAJEMEN DAN KEBIJAKAN PUBLIK,S1,694,43
MANAJEMEN DAN PENILAIAN PROPERTI,D4,667,25
MANAJEMEN INFORMASI KESEHATAN,D4,692,20
MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),S1,604,68
MATEMATIKA,S1,657,43
MIKROBIOLOGI PERTANIAN,S1,603,46
PARIWISATA,S1,695,92
PEMBANGUNAN EKONOMI KEWILAYAHAN,D4,634,13
PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN,S1,683,91
PEMBANGUNAN WILAYAH,S1,663,48
PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,D4,685,58
PENGELOLAAN HUTAN,D4,650,15
PENGEMBANGAN PRODUK AGROINDUSTRI,D4,619,18
PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,600,63
PERBANKAN,D4,665,69
PERENCANAAN WILAYAH DAN KOTA,S1,687,89
POLITIK DAN PEMERINTAHAN,S1,687,58
PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),S1,600,91
PSIKOLOGI,S1,719,88
SASTRA ARAB,S1,677,15
SASTRA INGGRIS,S1,692,42
SEJARAH,S1,622,92
SISTEM INFORMASI GEOGRAFIS,D4,637,29
SOSIOLOGI,S1,665,67
STATISTIKA,S1,686,56
TEKNIK BIOMEDIS,S1,660,00
TEKNIK ELEKTRO,S1,684,54
TEKNIK FISIKA,S1,652,98
TEKNIK GEODESI,S1,680,44
TEKNIK GEOLOGI,S1,693,61
TEKNIK INDUSTRI,S1,708,56
TEKNIK INFRASTRUKTUR LINGKUNGAN,S1,633,85
TEKNIK KIMIA,S1,686,19
TEKNIK MESIN,S1,695,39
TEKNIK NUKLIR,S1,664,17
TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL,D4,639,56
TEKNIK PENGELOLAAN DAN PERAWATAN ALAT BERAT,D4,626,05
TEKNIK PERTANIAN,S1,644,91
TEKNIK SIPIL,S1,707,32
TEKNIK SUMBER DAYA AIR,S1,(Prodi Baru)
TEKNOLOGI HASIL PERIKANAN,S1,625,93
TEKNOLOGI INDUSTRI PERTANIAN,S1,656,30
TEKNOLOGI INFORMASI,S1,714,73
TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,699,49
TEKNOLOGI REKAYASA ELEKTRO,D4,612,39
TEKNOLOGI REKAYASA INSTRUMENTASI DAN KONTROL,D4,603,09
TEKNOLOGI REKAYASA INTERNET,D4,656,86
TEKNOLOGI REKAYASA MESIN,D4,610,72
TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL,D4,619,26
TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,682,62
TEKNOLOGI SURVEI DAN PEMETAAN DASAR,D4,611,59
TEKNOLOGI VETERINER,D4,616,61
